"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
16	"OU1"	1680.3571210754	-3354.7142421508	-3354.70243693683	-3337.85654190212	3	1400	320	0	0.100410082758334	0	0.00389551126034259	0	0.907278700389466	0.00637393663628969	0	0	-3354.70243693683	129.970494449082	5.98456142380027e-29
16	"OUM"	1738.81783734081	-3469.63567468161	-3469.61598964224	-3447.15874101671	4	1500	260	0	0.129787469674223	0.129787469674223	0.00426137229501003	0.00426137229501003	0.855390236391187	0.00629337587763346	0.986301095828096	0.00842977854348972	-3469.61598964224	15.0569417436714	0.00053727081100385
16	"OUMV"	1747.3512367417	-3484.7024734834	-3484.67293138592	-3456.60630640227	5	1100	510	160	0.123901140708916	0.123901140708916	0.00452496799771367	0.00339570155781814	0.856049485369912	0.00682781364820761	0.98631207515741	0.00790145500091508	-3484.67293138592	0	0.999462729188996
17	"BM1"	423.603005656566	-843.206011313131	-843.200111608116	-831.967544480677	2	1000	0	0	0	0	0.00629678643722101	0	0.948057657468415	0.32868367482993	0	0	-843.200111608116	1873.11432960086	0
17	"BMS"	687.670620226889	-1369.34124045378	-1369.32943523981	-1352.4835402051	3	680	340	0	0	0	0.00870313672026102	0.00154470650444412	0.967304931618854	0.314461359659844	0	0	-1369.32943523981	1346.98500596917	3.20569359965670e-293
17	"OU1"	1102.53645019918	-2199.07290039836	-2199.06109518439	-2182.21520014968	3	1700	32	0	0.332113999646786	0	0.0155465225034796	0	0.894400375809437	0.00410711878160631	0	0	-2199.06109518439	517.253346024583	4.78478796779016e-113
17	"OUMV"	1343.79672059949	-2677.59344119898	-2677.56389910149	-2649.49727411785	5	1500	440	5.9	2.33765477005575	2.33765477005575	0.0736468762250499	0.0783102520338712	0.845579928873932	0.00349222050674691	0.987696498891099	0.00500878485347383	-2677.56389910149	38.7505421074825	3.84969528818258e-09
17	"OUM"	1348.10323849141	-2688.20647698281	-2688.18679194344	-2665.72954331791	4	5.8e+09	1000	0	3.37100463365816	3.37100463365816	0.107184200260056	0.107184200260056	0.845918534536779	0.00348491582306144	0.987466189620394	0.00485697890636563	-2688.18679194344	28.1276492655315	7.80114278786269e-07
17	"OUMVA"	1364.17791025966	-2716.35582051932	-2716.31444120897	-2682.64042002196	6	1500	440	5.9	0.164897779186797	0.154186726460721	0.00377995210622554	0.00508295602957559	0.853584279656078	0.00635142423123018	0.986458040907026	0.00648565567076167	-2716.31444120897	0	0.999999216036026
18	"BM1"	1108.50323496714	-2213.00646993428	-2213.00057022926	-2201.76800310182	2	1000	0	0	0	0	0.00299955276527324	0	0.941250745677433	0.21174893494158	0	0	-2213.00057022926	966.60637875372	1.26439671072106e-210
18	"BMS"	1116.41228083046	-2226.82456166092	-2226.81275644695	-2209.96686141224	3	680	340	0	0	0	0.00272714685815678	0.00353564548013526	0.938920772766606	0.206237810895607	0	0	-2226.81275644695	952.794192536029	1.26229681394415e-207
18	"OU1"	1521.77633506841	-3037.55267013682	-3037.54086492285	-3020.69496988814	3	1500	300	0	0.107029627410111	0	0.00438064827010301	0	0.903420359424873	0.00621827735633866	0	0	-3037.54086492285	142.066084060132	1.40777550247945e-31
18	"OUM"	1588.5344105888	-3169.0688211776	-3169.04913613823	-3146.59188751269	4	1600	240	0	0.140789495264487	0.140789495264487	0.00486314599665713	0.00486314599665713	0.850495842651725	0.00616328453691874	0.983858833061159	0.0079557001353685	-3169.04913613823	10.5578128447528	0.00507214499778638
18	"OUMV"	1594.81824554024	-3179.63649108047	-3179.60694898298	-3151.54032399934	5	1200	440	160	0.140858890092412	0.140858890092412	0.00446817807885781	0.00565307586541607	0.850331692444423	0.00590742612009031	0.984131846611706	0.00856951301216708	-3179.60694898298	0	0.994927855002213
19	"BM1"	636.111732888169	-1268.22346577634	-1268.21756607132	-1256.98499894388	2	1000	0	0	0	0	0.00501663804510006	0	0.932965872935539	0.282500282823838	0	0	-1268.21756607132	1567.89532328835	0
19	"BMS"	898.070798199697	-1790.14159639939	-1790.12979118542	-1773.28389615071	3	670	350	0	0	0	0.00236068289621681	0.0101215018237701	0.898854490337539	0.241835426264854	0	0	-1790.12979118542	1045.98309817424	7.37320229218432e-228
19	"OU1"	1224.28552658334	-2442.57105316668	-2442.55924795271	-2425.713352918	3	1700	240	0	0.171941116973569	0	0.00822468902618004	0	0.895588089474184	0.00526528749019253	0	0	-2442.55924795271	393.553641406959	3.47466229850559e-86
