"","id","model","loglik","AIC","AICc","BIC","param.count","eigval1","eigval2","eigval3","X0_alpha","X1_alpha","sigma0","X1_sigma.sq","theta0","theta_se0","theta_1","theta_se_1","fit","delta","w","data","regime","tree"
"60","ouwie_Afr_avgl_60","OUM",-1572.55112308773,3153.10224617545,3153.12412801352,3175.15708316681,4,1400,180,0,0.123039504742066,0.123039504742066,0.111532321269127,0.111532321269127,0.609350452178862,0.027693205881196,1.22147331867439,0.0976311694307969,3153.12412801352,0,0.73208969587144,"empirical","Megafauna","set_trees"
"61","ouwie_Afr_avgl_61","OUM",-1642.07080287449,3292.14160574899,3292.16348758706,3314.19644274034,4,1500,110,0,0.188244273183222,0.188244273183222,0.169424480545532,0.169424480545532,0.57578908976733,0.0233939069249496,1.22394923904302,0.0886736067603707,3292.16348758706,0,0.691563398155805,"empirical","Megafauna","set_trees"
"62","ouwie_Afr_avgl_62","OUMV",-1557.87273789424,3125.74547578847,3125.77831651097,3153.31402202767,5,1400,200,32,0.120705199437411,0.120705199437411,0.107348533805538,0.180726382769646,0.586665685994065,0.0269636596146044,1.14397852400669,0.132726475115948,3125.77831651097,0,0.982906629120948,"empirical","Megafauna","set_trees"
"63","ouwie_Afr_avgl_63","OUM",-1521.6578760632,3051.3157521264,3051.33763396447,3073.37058911776,4,1400,180,0,0.124606821906559,0.124606821906559,0.112334712627,0.112334712627,0.596941200200189,0.0281197367459633,1.21090806431128,0.100826028891217,3051.33763396447,0,0.549753035446169,"empirical","Megafauna","set_trees"
"64","ouwie_Afr_avgl_64","OUM",-1609.87696088322,3227.75392176645,3227.77580360452,3249.80875875781,4,1500,190,0,0.155371223520319,0.155371223520319,0.14272944932929,0.14272944932929,0.605730328125378,0.0263846837411701,1.28006866959451,0.0967092286989141,3227.77580360452,0,0.700409144709262,"empirical","Megafauna","set_trees"
"65","ouwie_Afr_avgl_65","OUM",-1606.4692910612,3220.93858212239,3220.96046396047,3242.99341911375,4,1500,170,0,0.161256062526954,0.161256062526954,0.145508566217982,0.145508566217982,0.591308610958383,0.0254770419075572,1.20383007788193,0.0956460714974723,3220.96046396047,0,0.450654604733714,"empirical","Megafauna","set_trees"
"66","ouwie_Afr_avgl_66","OUM",-1632.62306193715,3273.2461238743,3273.26800571238,3295.30096086566,4,1500,170,0,0.16592735983577,0.16592735983577,0.156744830946653,0.156744830946653,0.580648071607075,0.0259412617795563,1.22645068839539,0.0968628110743993,3273.26800571238,0,0.508388478870498,"empirical","Megafauna","set_trees"
"67","ouwie_Afr_avgl_67","OUM",-1772.06006431103,3552.12012862206,3552.14201046013,3574.17496561342,4,1600,24,0,0.329626623669446,0.329626623669446,0.302773059395271,0.302773059395271,0.509823277193247,0.0189871816766864,1.24441655733867,0.082962381585553,3552.14201046013,0,0.727783048846556,"empirical","Megafauna","set_trees"
"68","ouwie_Afr_avgl_68","OUM",-1589.27467504734,3186.54935009467,3186.57123193275,3208.60418708603,4,1400,180,0,0.147324577818876,0.147324577818876,0.138266638788729,0.138266638788729,0.603183659348253,0.0276045211573793,1.18567738913858,0.0998502341225731,3186.57123193275,0,0.669610901470007,"empirical","Megafauna","set_trees"
"69","ouwie_Afr_avgl_69","OUMV",-1759.46786689145,3528.93573378291,3528.96857450541,3556.50428002211,5,5.7e+09,880,36,3.37737523611381,3.37737523611381,2.68107626068107,4.16393662457556,0.493355616966135,0.0152030997936067,1.13431173760304,0.0940465822244748,3528.96857450541,0,0.944407479370128,"empirical","Megafauna","set_trees"
"70","ouwie_Afr_avgl_7","OUMVA",-1532.67831524221,3077.35663048441,3077.40263267499,3110.43888597145,6,1300,210,26,0.130067816288749,0.135322083605745,0.119913608415388,0.0565684941929441,0.605477193522387,0.0279814996129,1.21855418866333,0.0849622379923544,3077.40263267499,0,0.591361903195629,"empirical","Megafauna","set_trees"
"71","ouwie_Afr_avgl_70","OUM",-1797.41804313242,3602.83608626484,3602.85796810292,3624.8909232562,4,5.9e+09,920,0,3.31442948009558,3.31442948009558,2.81164688356449,2.81164688356449,0.507872880269186,0.0157426740204567,1.12844968045893,0.0774459433298277,3602.85796810292,0,0.999999999999813,"empirical","Megafauna","set_trees"
"72","ouwie_Afr_avgl_71","OUM",-1641.96171262961,3291.92342525922,3291.94530709729,3313.97826225058,4,1500,160,0,0.171501550510032,0.171501550510032,0.160750671681616,0.160750671681616,0.593453966256192,0.0250784330062808,1.22710574134107,0.098007756528845,3291.94530709729,0,0.580656978391619,"empirical","Megafauna","set_trees"
"73","ouwie_Afr_avgl_72","OUM",-1728.26571147074,3464.53142294148,3464.55330477955,3486.58625993284,4,1600,35,0,0.334760257885102,0.334760257885102,0.301866221680487,0.301866221680487,0.525973112296121,0.0192732742218456,1.22173766395787,0.0884808610735561,3464.55330477955,0,0.747468694265749,"empirical","Megafauna","set_trees"
"74","ouwie_Afr_avgl_73","OUMV",-1595.8421192833,3201.68423856659,3201.71707928909,3229.25278480579,5,1500,150,32,0.165841751192592,0.165841751192592,0.141390447952607,0.391242622894932,0.560738322942295,0.0231068454898446,1.22689276554427,0.159958658229503,3201.71707928909,0,0.999999997146309,"empirical","Megafauna","set_trees"
"75","ouwie_Afr_avgl_74","OUMVA",-1536.451739941,3084.903479882,3084.94948207258,3117.98573536904,6,1300,230,27,0.116569544106021,0.109193273485415,0.112426728947825,0.199546159688663,0.664941147559942,0.0316263849122485,1.2043787901079,0.0984291283663091,3084.94948207258,0,0.534680096945952,"empirical","Megafauna","set_trees"
