Column1;x;PalmSubfamily;accGenus;PalmTribe;;;;;;;;;;SpecName;PalmSubfamily;accGenus;PalmTribe
135;Licuala_intermedia;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_aculeatissimum;Arecoideae;Astrocaryum;Cocoseae
136;Licuala_linearis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_aculeatum;Arecoideae;Astrocaryum;Cocoseae
137;Licuala_spicata;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_alatum;Arecoideae;Astrocaryum;Cocoseae
138;Licuala_ramsayi;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_campestre;Arecoideae;Astrocaryum;Cocoseae
139;Licuala_triphylla;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_carnosum;Arecoideae;Astrocaryum;Cocoseae
140;Licuala_pseudovalida;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_chambira;Arecoideae;Astrocaryum;Cocoseae
141;Licuala_poonsakii;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_chonta;Arecoideae;Astrocaryum;Cocoseae
142;Licuala_maculata;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_ciliatum;Arecoideae;Astrocaryum;Cocoseae
143;Licuala_taynguyensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_confertum;Arecoideae;Astrocaryum;Cocoseae
144;Licuala_ferruginea;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_echinatum;Arecoideae;Astrocaryum;Cocoseae
145;Licuala_magna;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_faranae;Arecoideae;Astrocaryum;Cocoseae
146;Licuala_sabahana;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_farinosum;Arecoideae;Astrocaryum;Cocoseae
147;Licuala_spinosa;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_ferrugineum;Arecoideae;Astrocaryum;Cocoseae
148;Licuala_averyanovii;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_giganteum;Arecoideae;Astrocaryum;Cocoseae
149;Licuala_klossii;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_gratum;Arecoideae;Astrocaryum;Cocoseae
150;Licuala_adscendens;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_huaimi;Arecoideae;Astrocaryum;Cocoseae
151;Licuala_campestris;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_huicungo;Arecoideae;Astrocaryum;Cocoseae
152;Licuala_dakrongensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_jauari;Arecoideae;Astrocaryum;Cocoseae
153;Licuala_pusilla;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_javarense;Arecoideae;Astrocaryum;Cocoseae
154;Licuala_scortechinii;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_macrocalyx;Arecoideae;Astrocaryum;Cocoseae
