"","SpecName","Area_code_L3","accGenus","PalmTribe","PalmSubfamily","AverageFruitLength_cm","accAfrica","Americas","Asia","Africa","Madagascar","Pacific","accRealm","area","region","continent","log_BBM_MCC","log_BBM_mean"
"1000","Calamus_deerratus","SUD","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Sudan","Northeast Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1001","Calamus_deerratus","CMN","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Cameroon","West-Central Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1002","Calamus_deerratus","UGA","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Uganda","East Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1003","Calamus_deerratus","GHA","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Ghana","West Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1004","Calamus_deerratus","NGR","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Niger","West Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1005","Calamus_deerratus","GAM","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Gambia","West Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1006","Calamus_deerratus","CAF","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Central African Repu","West-Central Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1007","Calamus_deerratus","SIE","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Sierra Leone","West Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1008","Calamus_deerratus","ZAM","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Zambia","South Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1009","Calamus_deerratus","NGA","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Nigeria","West Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1010","Calamus_deerratus","EQG","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Equatorial Guinea","West-Central Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1011","Calamus_deerratus","ANG","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Angola","South Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1012","Calamus_deerratus","GNB","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Guinea-Bissau","West Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1013","Calamus_deerratus","IVO","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Ivory Coast","West Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1014","Calamus_deerratus","BEN","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Benin","West Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1015","Calamus_deerratus","CON","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Congo","West-Central Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1016","Calamus_deerratus","ZAI","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Zaïre","West-Central Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1017","Calamus_deerratus","SEN","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Senegal","West Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1018","Calamus_deerratus","GUI","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Guinea","West Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1019","Calamus_deerratus","BKN","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Burkina","West Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1020","Calamus_deerratus","GAB","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Gabon","West-Central Tropical Africa","AFRICA",2.288288158226,0.972551569435506
"1021","Calamus_delessertianus","IND","Calamus","Calameae","Calamoideae",1.5,"0","0","1","0","0","0","Asia","India","Indian Subcontinent","ASIA-TROPICAL",1.37726355929941,0.99627517342393
"1022","Calamus_delicatulus","SRL","Calamus","Calameae","Calamoideae",1,"0","0","1","0","0","0","Asia","Sri Lanka","Indian Subcontinent","ASIA-TROPICAL",2.23767568050786,0.889751539828852
"1023","Calamus_densiflorus","THA","Calamus","Calameae","Calamoideae",2,"0","0","1","0","0","0","Asia","Thailand","Indo-China","ASIA-TROPICAL",-0.191723249963056,0.79160094293557
"1024","Calamus_densiflorus","MLY","Calamus","Calameae","Calamoideae",2,"0","0","1","0","0","0","Asia","Malaya","Malesia","ASIA-TROPICAL",-0.191723249963056,0.79160094293557
"1025","Calamus_dianbaiensis","CHS","Calamus","Calameae","Calamoideae",2,"0","0","1","0","0","0","Asia","China Southeast","China","ASIA-TEMPERATE",3.24992523487074,0.658097524412481
