"","LEVEL_3_CO","X","LAT","LONG","accAfrica","max95FL_palms","log_medianFL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean"
"56","IND",56,21.72683329,78.38336127,0,4.11350371403892,1.40256979815848,172376.706790868,75675.4657254902,708441.841208677,47.17,260.235104891146,4221.21646813485,121.495346697093,1043.45520155645,18.7864,0.040476591,"Asia",1.3009,1.18945
"57","IVO",57,7.631725302,-5.555499924,1,12.8308151998943,1.17481364842683,70000.3,8190.62289156626,72246.3338092311,11.37,258.954131223115,1318.17756474348,65.9795347904534,1279.42971053867,13.5669,0.372295536,"Africa",1.29,1.1338
"58","JAM",58,18.15133064,-77.31975081,0,2.65983672482157,1.63032594789013,513.875150081201,521.865714285714,3119.84236545334,68.98,252.523925030855,1008.4478648966,43.2624758138657,1725.23086079905,NA,NA,"Americas",1.467,1.18435
"59","JAW",59,-7.288626257,110.0767173,0,4.83556469320594,1.45318227587662,65939.3297710421,60717.0564943253,1276172.77576851,38,253.498946243917,408.91872367847,54.4772824133506,2596.89206500209,17.2098,0.461398351,"Asia",1.262,1.06
"60","KEN",60,0.529780176,37.85786442,1,10.8206300721613,0.567463915809104,71596.5394678466,21623.8422868093,87467.4936303788,26.39,245.23561479766,992.675247649849,80.2867973719744,631.524143367345,14.1131,0.028665851,"Africa",1.2174,1.1083
"61","LAO",61,18.50245057,103.7634056,0,7.32106285001026,1.63032594789013,32950.7229879636,64894.8121071159,609655.478060085,59.59,226.778056196832,2567.34975491431,87.071759066669,1866.81329160816,26.0867,0.85863257,"Asia",1.30625,1.1397
"62","LBR",62,6.448118463,-9.307846564,1,8.83670003111144,1.50379475359477,70741.1103144473,9064.28933333333,75365.7537734392,11.57,249.489122999319,845.851426968197,59.9833353879857,2558.73724955269,18.8533,0.972675344,"Africa",1.291,1.07365
"63","LEE",63,16.92097024,-62.28981026,0,5.13757537062896,1.09889493184962,45.1657882817615,10430.8166666667,9514.64293354081,99.72,261.330923132609,1052.15456344476,35.8308447193353,1426.42317255097,9.92969,0.020722033,"Americas",1.39645,1.08425
"64","LSI",64,-8.633678479,123.0810076,0,13.1950791077289,3.0980878017163,8345.01132633461,32589.3005942275,22594.6041514218,93.24,252.935075807882,702.898830832238,72.7312632035494,1683.48967093311,19.5388,0.298834389,"Asia",1.2664,1.1704
"65","MAU",65,-20.19561777,57.55522668,1,5.91815895190149,1.98461329191714,456.3,-176.266666666667,430.303207822507,-62.94,234.403915335627,1818.73624242252,50.8196589078151,1798.58838174274,NA,NA,"Africa",1.2394,1.0793
